Reference,Whisper_Transcription,Gemini_Transcription
ĐƯỢC BÀY TRÊN NHỮNG BỆ THỜ BÊN CẠNH NHỮNG BÓ SEN HUỆ THƠM NỨC," Được bày trên những bể thờ bên cạnh những bó sen, huệ thơm phức","được bày trên những bệ thờ, bên cạnh những bó sen, huệ thơm phức."
MỘT ANH TRAI TUẤN ĐANG NGỒI TÙ VÌ TỘI GIẾT NGƯỜI, Một anh trai Tuấn đang ngồi tù vì tội giết người,Một anh trai tuấn đang ngồi tù vì tội giết người.
SAU MỘT NGÀY LAO ĐỘNG CĂNG MỆT BẠN ƯU TIÊN CHỌN," Sau một ngày lao động căng mệt, bạn ưu tiên chọn.","Sau một ngày lao động căng mệt, bạn ưu tiên chọn."
TRONG DÒNG THÁC NGƯỜI CHỈ NHÌN ĐƯỢC MẮT KÍNH VÀ KHẨU TRANG," Trong dòng thác người, chỉ nhìn được mắt kính và khẩu trang","Trong dòng thác người, chỉ nhìn được mắt kính và khẩu trang.
"
BA TÔI HÃNH DIỆN NÓI CHUYỆN VỚI SỐ HỌC SINH CÙNG LÊN XE ĐÒ, Ba tôi hạnh diễn nói chuyện với số học sinh cùng lên xe đò.,ba tôi hãnh diện nói chuyện với số học sinh cùng lên xe đò.
BẢN THÂN TÔI CŨNG THAM GIA MỘT VAI RẤT NHỎ NỮA, Bản thân tôi cũng tham gia một vai rất nhỏ nữa.,Bản thân tôi cũng tham gia một vai rất nhỏ thôi.
CÓ MẤY NGƯỜI ĐỤNG PHẢI NÓ SUÝT NGÃ CHÚI XUỐNG ĐƯỜNG," Có mấy người đụng phải nó, xích ngã chuối xuống đường",Có mấy người đụng phải nó suýt ngã chúi xuống đường.
THÌ HỢP ĐỒNG THẾ CHẤP NÀY CŨNG KHÔNG CÓ GIÁ TRỊ PHÁP LÝ, thì hợp đồng thế chấp này cũng không có giá trị pháp lý.,thì hợp đồng thế chấp này cũng không có giá trị pháp lý.
MỘT BÀ SANG TRỌNG ĐẾN GẶP BÁC SĨ TRẺ KHÁM BỆNH BÁC SĨ HỎI, Một bà sang trọng đến gặp bác sĩ trẻ khám bệnh bác sĩ hỏi,"Một bà sang trọng đến gặp bác sĩ trẻ khám bệnh, bác sĩ hỏi,
"
HỌ ĐƯỢC BỌN ĐẦU NẬU NHỮNG TAY TRÙM THUÊ VỚI GIÁ RẺ MẠT, Họ được bọn đầu nậu những tay trùm thuê với giá rẻ mạc.,"Họ được bọn đầu nậu, những tay trùm thuê với giá rẻ mạt."
VỚI CÁC DÁT MÀU CÀ PHÊ SỮA KHÔNG CẦN ĐIỀU TRỊ," Với các giác màu, cà phê, sữa không cần điều trị.",Với các giác màu cà phê sữa không cần điều chỉnh.
ĐẾN ĐÀ LẠT BẠN PHẢI CHUẨN BỊ ĐÔI CHÂN ĐỂ ĐI BỘ, đến Đà Lạt bạn phải chuẩn bị đôi chân để đi bộ,"Đến Đà Lạt bạn phải chuẩn bị đôi chân để đi bộ.
"
RỒI MẶC DÙ BIẾT LÀ NGỚ NGẨN TÔI CỨ NÓI RA, Rồi mặc dù biết là ngớ ngẩn tôi cứ nói ra,"rồi, mặc dù biết là ngớ ngẩn, tôi cứ nói ra."
BÓNG MÀU XANH LÀ VÙNG TÂM BÃO CÓ THỂ ĐI QUA, Bóng màu xanh là vùng tâm bão có thể đi qua.,Bóng màu xanh là vùng Tam Bảo có thể đi qua.
ĐOÀN ĐI THUYỀN ĐẾN MỘT KHU LÀNG DÂN TỘC THIỂU SỐ, Đoàn đi thiền đến một khu làng dân tộc thủy số,Đoàn đi thuyền đến một khu làng dân tộc thiểu số.
CHỊ TÌM NHÀ CHO EM Ở TRỌ NGAY CỔNG TRƯỜNG CHỊ HỌC, Chị tìm nhà cho em ở chỗ ngay cổng trường chị học,"Chị tìm nhà cho em ở trọ ngay cổng trường chị học.
"
PHIM CHIẾU NGUYÊN BẢN TIẾNG PHÁP CÓ PHỤ ĐỀ TIẾNG VIỆT, Phim chiếu nguyên bản tiếng Pháp có phụ đề tiếng Việt.,Phim chiếu nguyên bản tiếng Pháp có phụ đề tiếng Việt.
VÀ ĐỘI TUYỂN PHÁP ĐANG LÀ ĐỘI CHIẾM ƯU THẾ HƠN SO VỚI THỤY SĨ, Và đội tuyển Pháp đang là đội chiếm ưu thế hơn so với Thủy Sĩ.,và đội tuyển Pháp đang là đội chiếm ưu thế hơn so với Thụy Sĩ.
HÀ CŨNG CHẲNG NHỚ MÌNH CÓ NÓI HAY KHÔNG ĐỂ CÃI LẠI ÔNG ẤY, Hà cũng chẳng nhớ mình có nói hay không để cãi lại ông ấy,Hà cũng chẳng nhớ mình có nói hay không để cãi lại ông ấy.
MỖI NGƯỜI NỞ MỘT NỤ CƯỜI VỚI NHỮNG Ý NGHĨA KHÁC NHAU, Mọi người nở một nụ cười với những ý nghĩa khác nhau.,Mọi người nở một nụ cười với những ý nghĩa khác nhau.
RIÊNG ÔNG NGUYỄN VĂN BA BỊ GỖ ĐÈ DẬP SỌ NÃO CHẾT NGAY TẠI CHỖ, ghiêng ông Nguyễn Văn Ba bị rổ đè dập sỏ não chết ngay tại chỗ,"riêng ông Nguyễn Văn Ba bị rỗ đè, dập sọ não chết ngay tại chỗ."
HỌ BẢO TÔI GIỐNG NGƯỜI HÀN THÌ TÔI LẠI THẤY HỌ GIỐNG NGƯỜI VIỆT, Họ bảo tôi giống như người Hàn thì tôi lại thấy họ giống người Việt,Họ bảo tôi giống như người Hàn thì tôi lại thấy họ giống người Việt.
EM HÃY TỈNH TÁO MÀ TÌM NHỮNG ĐỊNH HƯỚNG TỐT HƠN CHO TƯƠNG LAI, Em hãy tỉnh táo mà tìm những định hướng tốt hơn cho tương lai,"Em hãy tỉnh táo mà tìm những định hướng tốt hơn cho tương lai.
"
KHAI MẠC TRIỂN LÃM QUY MÔ LỚN VỀ TRANH SƠN MÀI VIỆT NAM, Khai mạc triển lãm quy mô lớn về tranh sơn mài Việt Nam,Khai mạc triển lãm quy mô lớn về tranh sơn mài Việt Nam.
NHƯNG CHẲNG CÓ ĐIỂM SẢN XUẤT NÀO DÙNG BẠT PHỦ CHE CHẮN, Nhưng chẳng có điểm sản xuất nào dùng bạc phụ che chắn,"Nhưng chẳng có điểm sản xuất nào dùng bạc phủ che chắn.
"
SAU ĐÓ BẢN THÂN HỌC SINH PHẢI LÀM ĐƠN XIN HỌC BỔNG," Sau đó, bản thân học sinh phải làm đơn sinh học bỏng.","Sau đó, bản thân học sinh phải làm đơn xin học bổng."
ĐƠN VỊ MÌNH KHÔNG NGHE AI NÓI GÌ CHƯA HẲN ĐÃ TỐT, Đơn vị mình không nghe ai nói gì chưa hẳn đã tốt,Đơn vị mình không nghe ai nói gì chưa hẳn đã tốt.
HAI LOẠI VĂN NÀY NÊN ĐƯỢC COI TRỌNG NHƯ NHAU TRONG CÁC KỲ THI, Hai loại văn này nên được coi trọng như nhau trong các kỳ thi,Hai loại văn này nên được coi trọng như nhau trong các kỳ thi.
BẠN CÓ THỂ TẮT CHƯƠNG TRÌNH ĐÓ ĐI VÀ THỰC HIỆN THAO TÁC CUỐI CÙNG, Bạn có thể tắt chương trình đó đi và thực hiện thao tác cuối cùng.,Bạn có thể tắt chương trình đó đi và thực hiện thao tác cuối cùng.
CÁC BƯỚC SAU ĐÂY SẼ GIÚP BẠN TÌM RA ỨNG CỬ VIÊN THÍCH HỢP, Các bước sau đây sẽ giúp bạn tìm ra ấn cử viên thích hợp.,Các bước sau đây sẽ giúp bạn tìm ra ứng cử viên thích hợp.
BẠN CẦN TRUNG THỰC VỚI NHÂN VIÊN CỦA MÌNH TRONG MỌI HOÀN CẢNH, Bạn cần trung thực với nhân viên của mình trong mọi hoàn toàn.,"Bạn cần trung thực với nhân viên của mình trong mọi hoàn cảnh.
"
VẬY MỚI CÓ MỤC TIÊU ĐỂ MÀ PHẤN ĐẤU NÊN NGƯỜI CÓ Ý THỨC, Vậy mới có mục tiêu để mà phấn đấu nên người có ý thức,Vậy mới có mục tiêu để mà phấn đấu nên người có ý thức.
CÓ NGÀY CÁC BÁC SĨ ĐIỀU DƯỠNG MỔ MẮT CHO HÀNG TRĂM NGƯỜI MÙ NGHÈO, Có ngày các bác sĩ điều dưỡng mổ mắt cho hàng trăm người mù nghèo,Có ngày các bác sĩ điều dưỡng mổ mắt cho hàng trăm người mù nghèo.
HẦU NHƯ CÁC PHẢN ỨNG PHỤ NẶNG NỀ LÀ RẤT HIẾM GẶP, Hầu như các phản ứng phụ nặng nề là rất hiếm gặp,Hầu như các phản ứng phụ nặng nề là rất hiếm gặp.
MÙA ĐÔNG CẢ CÁNH ĐỒNG CHUYỂN SANG MỘT MÀU VÀNG RỰC, Màu đông cả cánh đồng chuyển sang một màu vàng rực,đông cả cánh đồng chuyển sang một màu vàng rực.
CÓ LẼ ĐÂY LÀ LỜI QUẢNG CÁO KHÔNG CÔNG HAY NHẤT CHO DU LỊCH LÀO, Có lẽ đây là lời quảng cáo không công hay nhất cho du lịch nào,Có lẽ đây là lời quảng cáo không công hay nhất cho du lịch này.
MẸ CŨNG ĐÃ TỪNG THỐNG KHỔ TUYỆT VỌNG VÀ CÔ ĐƠN NHƯ VẬY, Mẹ cũng đã từng thống khổ tuyệt vọng và cô đơn như vậy,Mẹ cũng đã từng thấm khổ tuyệt vọng và cô đơn như vậy.
CUỘC THI CÒN CÓ HAI GIẢI NHÌ BA GIẢI BA VÀ BỐN GIẢI KHUYẾN KHÍCH," Cuộc thi còn có 2 giải nhì 3, giải 3 và 4 giải khuyến khích.","Cuộc thi còn có hai giải nhì, ba giải ba và bốn giải khuyến khích.
"
NHỮNG CHIẾC LỒNG ĐÈN ĐỒ CHƠI VIỆT VẪN LẶNG LẼ MANG HỒN VIỆT XUỐNG PHỐ, Những chiếc lồng đèn đồ chơi Việt vẫn lặng lẽ mang hồn Việt xuống phố,Những chiếc lồng đèn đồ chơi Việt vẫn lặng lẽ mang hồn Việt xuống phố.
CHẲNG CẦN NHÌN VỀ PHƯƠNG TÂY QUÊ HƯƠNG CỦA HÀNG HIỆU, Chẳng cần nhìn về phương Tây quê hương của hàng hiệu,"chẳng cần nhìn về phương tây quê hương của hàng hiệu.
"
TIÊU NHƯ PHONG CHẠY TRỐN KHỎI KINH THÀNH ĐỂ TÌM HUNG THỦ THẬT SỰ, Tiêu Như Phong chạy trốn khỏi kinh thành để tìm hung thủ thật sự,"Tiêu Như Phong chạy trốn khỏi kinh thành để tìm hung thủ thật sự.
"
GIÀ LÀNG NGUYỄN MẠNH TƯỜNG TRẢ LỜI PHỎNG VẤN BÁO GIỚI ẢNH TRUNG DÂN, Gia Lan Nguyễn Mạnh Tường trả lời phỏng vấn báo giới ảnh Trung Dân,Già làng Nguyễn Mạnh Tường trả lời phỏng vấn báo giới ảnh trung dân.
MẸ LẦN TAY TRONG VÍ VÀ LẤY RA CHIẾC PHONG BÌ, Mẹ lần tay trong ví và lấy ra chiếc phong bì,Mẹ lần tay trong ví và lấy ra chiếc phong bì.
NHỮNG ĐIẾU THUỐC VÔ Ý ĐỐT CHÁY VÀI CHỖ TRÊN CHIẾC SÔ PHA BỌC VẢI, Những điếu thuốc vô ý đốt cháy vài chỗ trên chiếc sofa bọc vải,Những điếu thuốc vô ý đốt cháy vài chỗ trên chiếc sofa bọc vải.
NHÀ VĂN NGUYÊN NGỌC SINH VIÊN CÓ QUYỀN HOÀI NGHI VÀ TRANH CÃI, Nhà văn Nguyễn Ngọc sinh viên có quyền hoài nghi và tranh cãi.,"Nhà văn Nguyên Ngọc sinh, nhà văn Nguyễn Ngọc sinh viên có quyền hoài nghi và tranh cãi."
CHỈ MỘT ĐIỀU ĐƠN GIẢN VẬY MÀ ANH ẤY KHÔNG BAO GIỜ THỰC HIỆN ĐƯỢC, Chỉ một điều đơn giản vậy mà anh ấy không bao giờ thực hiện được,Chỉ một điều đơn giản vậy mà anh ấy không bao giờ thực hiện được.
MỘT SỐ ĐIỂM NƯỚC PHUN ĐẾN ĐÂU BAY HƠI HẾT ĐẾN ĐÓ," Một số điểm nước phun đến đâu, bay hơi hết đến đâu",một số điểm nước phun đến đâu bay hơi hết đến đó
ĐÓ LÀ CÂU HỎI MÀ ĐẾN NAY VẪN CHƯA CÓ CÂU TRẢ LỜI, Đó là câu hỏi mà đến nay vẫn chưa có câu trả lời.,"Đó là câu hỏi mà đến nay vẫn chưa có câu trả lời.
"
RÀ SOÁT CHẤT LƯỢNG CÔNG TRÌNH XÂY DỰNG TRÊN CẢ NƯỚC, Ra sát chất lượng công trình xây dựng trên cả nước,rả sát chất lượng công trình xây dựng trên cả nước.
SỐ TIỀN QUÁ LỚN KHIẾN GIA ĐÌNH HƯƠNG PHẠM VÀ LÊ CHOÁNG VÁNG, Số tiền quá lớn khiến gia đình Hương Phạm và Lê chán ván,"Số tiền quá lớn khiến gia đình Hương Phạm và Lê choáng váng.
"
KHI BỊ PHÁT HIỆN HỌ ĐÃ TRẢ LỜI NHƯ THẾ NÀO," Khi bị phát hiện, họ đã trả lời như thế.","Khi bị phát hiện, họ đã trả lời như thế?"
HÀ NỘI MỞ RỘNG KHU VỰC HỒ TÂY SÔNG HỒNG NÊN LÀ KHU VỰC TĨNH, Hà Nội mở rộng khu vực Hồ Tây Sông Hồng nên là khu vực tỉnh.,"Hà Nội mở rộng khu vực hồ Tây sông Hồng nên là khu vực tỉnh.
"
CẢM GIÁC ĐƯỢC CHIA SẺ VỚI BẠN ĐỜI CÙNG SỞ THÍCH THÚ VỊ LẮM, Cảm giác được chia sẻ với bạn đời cùng sở thích thú vị lắm,Cảm giác được chia sẻ với bạn đời cùng sở thích thú vị lắm.
ĐÓ LÀ GIAI ĐOẠN THỜI TIẾT ÍT BIẾN ĐỘNG VÀ NHIỆT ĐỘ KHÔNG QUÁ THẤP, Đó là giai đoạn thời tiết ít biến động và nhiệt độ không quá thấp,Đó là giai đoạn thời tiết ít biến động và nhiệt độ không quá thấp.
TỪ ĐÓ ĐẾN NAY GIA ĐÌNH CHỊ VẪN SỐNG TRONG CĂN NHÀ LỤP XỤP, Từ đó đến nay gia đình chị vẫn sống trong căn nhà lục sử.,Từ đó đến nay gia đình chị vẫn sống trong căn nhà lục xụp.
KHÔNG AI ĐƯỢC NGƯỢC ĐÃI CÁC EM VÌ CÁC EM HỌC CHẬM, Không ai được ngược đải các em vì các em học chậm,Không ai được ngược đãi các em vì các em học chậm.
DO VẬY VẤN ĐỀ KHU TRÚ KHỐNG CHẾ BỆNH TẢ HIỆN NAY RẤT KHÓ," Do vậy, vấn đề khu chú không chế bệnh tả hiện nay rất khó.","Do vậy, vấn đề khu trú, khống chế bệnh tả hiện nay rất khó khăn."
NHÓC ĐỎ MẶT TÍA TAI NHÓC THUA CHỊ MỘT TUỔI THÔI ĐẤY, Nhóc đỏ mặt tía tay Nhóc thua chị 1 tuổi thôi đấy,"Nhóc đỏ mặt tía tai. Nhóc đỏ mặt tía tai, nhóc thua chị một tuổi thôi đấy.
"
KHÔNG AI MUỐN CÓ TIÊU CỰC CẢ VÀ CŨNG ĐỪNG TUYỆT ĐỐI HÓA VẤN ĐỀ, Không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề,Không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề.
KHÔNG NẢN NGHĨA TIN RẰNG SẼ CÓ MỘT GIẢI PHÁP NÀO ĐÓ, Không nản nghĩa tin rằng sẽ có một giải pháp nào đó,Không nản nghĩa tin rằng sẽ có một giải pháp nào đó.
HIỆN CƠ QUAN CHỨC NĂNG ĐANG TIẾP TỤC ĐIỀU TRA VỤ VIỆC, Hiện cơ quan chức năng đang tiếp tục điều tra vụ việc.,"Hiện cơ quan chức năng đang tiếp tục điều tra vụ việc.
"
KHẮP NƠI QUANH CHÚNG TÔI VƯƠNG VÃI XÁC CHẾT CỦA NGƯỜI DÂN VÔ TỘI, Khắp nơi quanh chúng tôi vương vải sát chết của người dân vô tội,Khắp nơi quanh chúng tôi vương vãi xác chết của người dân vô tội.
DU LỊCH SẼ TRỞ THÀNH NGÀNH KINH TẾ MŨI NHỌN, Du lịch sẽ trở thành ngành kinh tế mũi nhọn.,"du lịch sẽ trở thành ngành kinh tế mũi nhọn.
"
BÀ CON RANG TRÍ CÀNH ĐÀO ĐỂ CHUẨN BỊ ĐÓN TẾT, Bà con trang trí cành đào để chuẩn bị đón Tết.,"Bà con trang trí cành đào để chuẩn bị đón Tết.
"
TÔI VÀO QUẦY GIẢI KHÁT ĐẦU TIÊN VÀ GỌI MỘT CỐC NƯỚC CAM, Tôi vào quầy giải khát đầu tiên và gọi 1 cốc nước kem,"Tôi vào quầy giải khát đầu tiên và gọi một cốc nước kem.
"
TỚ ĐI KIẾM NHÀ TRỌ RỒI NHƯNG KHÓ QUÁ, Tớ đi kiếm nhà trọ rồi nhưng khó quá,"Tớ đi kiếm nhà trọ rồi nhưng khó quá.
"
CHÍN MƯƠI BỐN CHÍN MƯƠI LĂM," 94, 95","94, 95.
"
THIẾU SỰ QUAN TÂM ĐÚNG MỨC TỪ CÁC CƠ QUAN CHỨC NĂNG, Thiếu sự quan tâm đúng mức từ các cơ quan chức năng,"thiếu sự quan tâm đúng mức từ các cơ quan chức năng.
"
SAU ĐÓ BÀ HÀNG XÓM TÍNH TÌNH XỞI LỞI CHẠY QUA KỂ VỚI TÔI, Sau đó bà hàng xóm tính tình sợi lỗi chạy qua kể với tôi,"Sau đó ba hàng xóm tính tình sỏi lõi chạy qua kể với tôi.
"
KHÔNG PHẢI VÌ TÔI KHÔNG COI TRỌNG CHẤT LƯỢNG, Không phải vì tôi không coi trọng chất lượng,"Không phải vì tôi không coi trọng chất lượng.
"
TỪ SỰ DƯ THỪA QUÁ MỨC CỦA LUỒNG TIỀN NÀY, Từ sự dư thừa quá mức của luận tiền này,"từ sự dư thừa quá mức của luồng tiền này.
"
NĂM MƯƠI HAI NĂM MƯƠI BA," Năm mười hai, năm mươi ba","52, 53."
VÀ ĐÃ HIẾN MÁU BA LẦN, và đã hiến máu 3 lần.,"và đã hiến máu ba lần.
"
DƯỚI ÁNH ĐÈN MỜ MỜ ẢO ẢO, dưới ánh đèn mờ mờ ảo ảo.,"dưới ánh đèn mờ mờ ảo ảo, rơ"
ỊCH GÃ TO BÉO ỤC ỊCH, Âch gá to béo ốc ạch,"ợt gà to béo ục ịch.
"
HẦU HẾT NHỮNG VẤN ĐỀ XẢY RA TRÊN THẾ GIỚI, Hầu hết những vấn đề xảy ra trên thế giới.,Hầu hết những vấn đề xảy ra trên thế giới.
�p đựng trang sức bọc da đỏ.,,
"
NĂM MƯƠI BỐN NĂM MƯƠI LĂM, Năm 14"," năm 15""","54, 55."
BA MƯƠI HAI BA MƯƠI BA," 32, 33","32 33
"
CHÍNH THỨC ĐÃ LÂY LAN RA BÊN NGOÀI, Chính thức đã lây lan ra bên ngoài,"Chính thức đã lây lan ra bên ngoài.
"
MỘT BA NĂM BẢY CHÍN," 1, 3, 5, 7, 9","1 3 5 7 9.
"
ÔNG ĐƯỢC NHIỀU NGƯỜI BIẾT ĐẾN, Ông được nhiều người biết đến,Ông được nhiều người biết đến.
TRẢ LỜI TÔI BIẾT, Trả lời tôi biết.,"Trả lời tôi biết.
"
TẠI CHỢ CÁ, Tại chợ cá,"tại chợ cá.
"
ĐỐI VỚI NHỮNG PHẢN ỨNG KHÁC BIỆT ĐÓ, đối với những phản ứng khác biệt đó,đối với những phản ứng khác biệt đó.
TIẾNG HÉT ĐỒNG THANH CỦA MẤY CHỤC CON NGƯỜI, Tiếng hét đồng thanh của mấy chục con người,Tiếng hét đồng thanh của mấy chục con người.
TỪ KHI CHỒNG QUA ĐỜI VÌ BỆNH TẬT, Từ khi chồng qua đời vì bệnh tật,từ khi chồng qua đời vì bệnh tật.
SÁU MƯƠI SÁU MƯƠI MỐT," 60, 61","60 61
"
XANH CỎ MƯỢT MÀ VEN ĐƯỜNG, Xanh có mượt mà ven đường,Xanh cỏ mượt mà ven đường.
NHÓM THANH LONG TRẺ DIỄN TIỂU PHẨM HÀI HẮC BẠCH TRANH HÙNG, Nhóm Thanh Long Trẻ diễn tiểu phẩm hài H.Bạch Tranh Hùng,Nhóm thanh long trẻ diễn tiểu phẩm Hai Hắc Bạch tranh hùng.
THIẾU TƯỚNG PHẠM QUÝ NGỌ CHO BIẾT, Thiếu tướng Phạm Quý Ngọ cho biết,"Thiếu tướng Phạm Quý Ngọ cho biết.
"
TÔI KHÔNG THẤY GÌ LÀ ĐÚNG KHI TĂNG GIÁ XE VÀO CÁC DỊP TẾT, Tôi không thấy gì là đúng khi tăng giá xe vào các dịp Tết.,Tôi không thấy gì là đúng khi tăng giá xe vào các dịp Tết.
KHÔNG MỘT CHÚT TRẦY TRỤA MÀ ĐỀN CÁI GÌ, Không một chút trầy trộn mà đền cái gì.,"Không một chút trầy trụa mà đền cái gì?
"
TRONG CUỘC BỎ PHIẾU TẠI HỘI ĐỒNG BẢO AN HAI NGÀY TRƯỚC ĐÓ, Trong cuộc bỏ phiếu tại Hội đồng Bảo an 2 ngày trước đó,"Trong cuộc bỏ phiếu tại Hội đồng Bảo an 2 ngày trước đó,
"
ĐÓ CHỨNG TỎ RẰNG CHÚNG TA ĐÃ GIÀ, Đó chứng tỏ rằng chúng ta đã già,Đó chứng tỏ rằng chúng ta đã già.
BẢY MƯƠI BẢY MƯƠI MỐT," 70, 71","70, 71.
"
ÁO RÁCH LƯƠM BƯƠM, Áo rách lôm bôm,"Áo rách lơm bơm. Ừ.
"
KHI CHÍNH PHỦ LÚC ĐẦU ĐỀ NGHỊ ÂN XÁ CHO NHỮNG NGƯỜI NỔI DẬY, Khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy,"khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy.
"
PHỤ HUYNH VÀ HỌC SINH ĐANG PHẢI È CỔ VÌ SÁCH GIÁ CAO, phụ huynh và học sinh đang phải e cỏ vì sách giá cao,Phụ huynh và học sinh đang phải e ngại về sách giá cao.
TRANG THỨ HAI CỦA TỜ BÁO, Trang thứ 2 của tờ báo,"Trang thứ hai của tờ báo.
"
TRẢ LẠI ĐẤT CHO RỪNG, Trả lại đất cho rừng,trả lại đất cho rừng.
CÁC LOẠI CÂY TRỒNG Ở RỪNG NÀY TOÀN CÂY KÉM GIÁ TRỊ, Các loại cây trồng ở rừng này toàn cây kém giá trị,"Các loại cây trồng ở rừng này toàn cây kém giá trị.
"
KHUYẾT ĐIỂM LỚN CỦA CHÚNG TA LÀ CHƯA CÓ DÂN CHỦ THẬT SỰ, Khuyết điểm lớn của chúng ta là chưa có dân chủ thật sự,Khuyết điểm lớn của chúng ta là chưa có dân chủ thực sự.
PHÙ SA BỒI ĐẮP RUỘNG VƯỜN CHO XÓM LÀNG TRÙ PHÚ, Phù xe bò đắp rượu vườn cho xóm làng trụ phú,phù sa bồi đắp ruộng vườn cho xóm làng trù phú.
NHỮNG BIẾN DẠNG NÀY THƯỜNG THẤY RÕ KHI DƯƠNG VẬT CƯƠNG, Những biến dạng này thường thấy rõ khi dương vật cương,"Những biến dạng này thường thấy rõ khi dương vật cương.
"
THÌ ĐỌC ĐƯỢC HỒI KÝ KHÔNG THỂ CHUỘC LỖI TRÊN BÁO TUỔI TRẺ, thì đọc được hồi ký không thể chuột lỗi trên báo Tuổi Trẻ.,thì đọc được hồi ký không thể chuộc lỗi trên báo tuổi trẻ.
NÓI CÁCH KHÁC CÁI ĐƯỢC CỦA CHÂU Á LÀ CÁI MẤT CỦA CHÂU PHI," Nói cách khác, cái được của châu Á là cái mắc của châu Phi","Nói cách khác, cái được của châu Á là cái mất của châu Phi.
"
TRONG NGẮN HẠN THỊ TRƯỜNG VẬN HÀNH NHƯ MỘT CỖ MÁY BẦU CỬ," Trong ngắn hạn, thị trường vận hành như một cỗ máy bầu cử",trong ngắn hạn thị trường vận hành như một cỗ máy bầu cử.
EM HÃY TÌM CÁCH TIẾP CẬN ĐỂ BÀY TỎ VỚI MẸ, Em hãy tìm cách tiếp cận để bày tỏ với mẹ,Em hãy tìm cách tiếp cận để bày tỏ với mẹ.
NGƯỜI ANH SAU ĐÓ ĐƯỢC PHÉP THẦU XÂY KÊNH NÀY NHƯNG KHÔNG TIẾN HÀNH, Người anh sau đó được phép thầu xoay kênh này nhưng không tiến hành,Người anh sau đó được phép thầu xây kênh này nhưng không tiến hành.
TỪ ĐÓ LẠI SA ĐÀ VÀO NHIỀU NGHỊCH CẢNH ĐÁNG TIẾC," Từ đó, lại xe đè vào nhiều nghịch cảnh đáng tiếc","Từ đó, lại xe đè vào nhiều nghịch cảnh đáng tiếc."
NHƯNG NẾU CHỈ NÓI CÁI GIỎI KHÔNG THÔI THÌ THẬT CHƯA ĐỦ VỀ CHÚ TƯ, Nhưng nếu chị nói cái giỏi không thôi thì thật sự chưa đủ về chú tư,"Nhưng nếu chị nói cái giỏi không thôi thì thật sự chưa đủ về chú Tư.
"
CHỊ NÊN ĐI KHÁM BÁC SĨ VÀ CHỌN PHƯƠNG PHÁP NGỪA THAI HIỆU QUẢ, Chị nên đi khám bác sĩ về chọn phương pháp ngừa thai hiệu quả,Chị nên đi khám bác sĩ về chọn phương pháp ngừa thai hiệu quả.
HỌ CHỈ THÍCH NHỮNG MÔN GÌ MẠNH BẠO BẠO LỰC VÀ KIẾM RA TIỀN THÔI," Họ chỉ thích những môn gì mạnh bạo, bạo lực và kiếm ra tiền thôi","Họ chỉ thích những môn gì mạnh bạo, bạo lực và kiếm ra tiền thôi.
"
TRANG VIẾT CỦA HỌ HƠN HẲN THỜI TUỔI TRẺ CỦA TÔI, Trang viết của họ hơn hẳn thời tuổi trẻ của tôi,"Trang viết của họ hơn hẳn thời tuổi trẻ của tôi.
"
XÉT Ở KHÍA CẠNH NÀY THÌ ĐÚNG LÀ MẤT BÒ MỚI LO LÀM CHUỒNG, Xét ở khía cạnh này thì đúng là mắt bò mới lo làm chuồng,"Xét ở khía cạnh này thì đúng là mất bò mới lo làm chuồng.
"
LÚC ĐÓ NẠN KẸT XE CHẮC SẼ KINH KHỦNG GẤP NHIỀU LẦN HÔM NAY, Lúc đó nạn kẹt xê chắc xỉ kinh khủng gấp nhiều lần hôm nay,"Lúc đó, nạn kẹt xe chắc sẽ kinh khủng, gấp nhiều lần hôm nay."
NHANH QUÁ ĐÃ LÀ LẦN THỨ BA XA NHÀ RỒI ĐẤY, Nhanh quá đã là lần thứ 3 xa nhà rồi đấy,Nhanh quá đã là lần thứ ba xe nhà rồi đấy.
ĐIỀU LẠ LÀ TÔI VẪN KHÔNG TỪ BỎ Ý ĐỊNH TRỞ THÀNH TU SĨ, Điều lạ là tôi vẫn không từ bỏ ý định trở thành tu sĩ,Điều lạ là tôi vẫn không từ bỏ ý định trở thành tu sĩ.
LÊN CÁC CUỘC HẸN PHỎNG VẤN VÀ THỰC HIỆN PHỎNG VẤN, Lên các cuộc hẹn phong bón và thực hiện phong bón,lên các cuộc hẹn phỏng vấn và thực hiện phỏng vấn.
MẮT TỰ NHIÊN HOA LÊN TRÍ CHỤP MỘT CÁI LY QUẬT MẠNH XUỐNG SÀN, Mắt tự nhiên hoa lên trí chụp một cái ly hoặc mạnh xuống sàn,"Mách tự nhiên hoa lên, trí chụp một cái ly hoặc mạnh xuống sàn."
CHƯƠNG TRÌNH HỌC BỔNG THANH NIÊN CHÂU Á CỦA NHẬT BẢN, Chương trình học bổng thanh niên châu Á của Nhật Bản,chương trình học bổng thanh niên châu Á của Nhật Bản
NỢ MỘT CUỘC CHIẾN CHỐNG THAM NHŨNG VẪN CHƯA VÀO ĐÂU, Nếu một cuộc chiến chống tham nhũng vẫn chưa vào đâu,Nở một cuộc chiến chống tham nhũng vẫn chưa và đâu?
