Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
KHÔNG AI ĐƯỢC NGƯỢC ĐÃI CÁC EM VÌ CÁC EM HỌC CHẬM, Không ai được ngược đải các em vì các em học chậm,Không ai được ngược đãi các em vì các em học chậm.,không ai được ngược đãi các em vì các em học chậm,không ai được ngược đải các em vì các em học chậm,không ai được ngược đãi các em vì các em học chậm,0.0833,0
DO VẬY VẤN ĐỀ KHU TRÚ KHỐNG CHẾ BỆNH TẢ HIỆN NAY RẤT KHÓ," Do vậy, vấn đề khu chú không chế bệnh tả hiện nay rất khó.","Do vậy, vấn đề khu trú, khống chế bệnh tả hiện nay rất khó khăn.",do vậy vấn đề khu trú khống chế bệnh tả hiện nay rất khó,do vậy vấn đề khu chú không chế bệnh tả hiện nay rất khó,do vậy vấn đề khu trú khống chế bệnh tả hiện nay rất khó khăn,0.1429,0.0714
NHÓC ĐỎ MẶT TÍA TAI NHÓC THUA CHỊ MỘT TUỔI THÔI ĐẤY, Nhóc đỏ mặt tía tay Nhóc thua chị 1 tuổi thôi đấy,"Nhóc đỏ mặt tía tai. Nhóc đỏ mặt tía tai, nhóc thua chị một tuổi thôi đấy.
",nhóc đỏ mặt tía tai nhóc thua chị một tuổi thôi đấy,nhóc đỏ mặt tía tay nhóc thua chị một tuổi thôi đấy,nhóc đỏ mặt tía tai nhóc đỏ mặt tía tai nhóc thua chị một tuổi thôi đấy,0.0833,0.4167
KHÔNG AI MUỐN CÓ TIÊU CỰC CẢ VÀ CŨNG ĐỪNG TUYỆT ĐỐI HÓA VẤN ĐỀ, Không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề,Không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề.,không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề,không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề,không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề,0,0
KHÔNG NẢN NGHĨA TIN RẰNG SẼ CÓ MỘT GIẢI PHÁP NÀO ĐÓ, Không nản nghĩa tin rằng sẽ có một giải pháp nào đó,Không nản nghĩa tin rằng sẽ có một giải pháp nào đó.,không nản nghĩa tin rằng sẽ có một giải pháp nào đó,không nản nghĩa tin rằng sẽ có một giải pháp nào đó,không nản nghĩa tin rằng sẽ có một giải pháp nào đó,0,0
HIỆN CƠ QUAN CHỨC NĂNG ĐANG TIẾP TỤC ĐIỀU TRA VỤ VIỆC, Hiện cơ quan chức năng đang tiếp tục điều tra vụ việc.,"Hiện cơ quan chức năng đang tiếp tục điều tra vụ việc.
",hiện cơ quan chức năng đang tiếp tục điều tra vụ việc,hiện cơ quan chức năng đang tiếp tục điều tra vụ việc,hiện cơ quan chức năng đang tiếp tục điều tra vụ việc,0,0
KHẮP NƠI QUANH CHÚNG TÔI VƯƠNG VÃI XÁC CHẾT CỦA NGƯỜI DÂN VÔ TỘI, Khắp nơi quanh chúng tôi vương vải sát chết của người dân vô tội,Khắp nơi quanh chúng tôi vương vãi xác chết của người dân vô tội.,khắp nơi quanh chúng tôi vương vãi xác chết của người dân vô tội,khắp nơi quanh chúng tôi vương vải sát chết của người dân vô tội,khắp nơi quanh chúng tôi vương vãi xác chết của người dân vô tội,0.1429,0
DU LỊCH SẼ TRỞ THÀNH NGÀNH KINH TẾ MŨI NHỌN, Du lịch sẽ trở thành ngành kinh tế mũi nhọn.,"du lịch sẽ trở thành ngành kinh tế mũi nhọn.
",du lịch sẽ trở thành ngành kinh tế mũi nhọn,du lịch sẽ trở thành ngành kinh tế mũi nhọn,du lịch sẽ trở thành ngành kinh tế mũi nhọn,0,0
BÀ CON RANG TRÍ CÀNH ĐÀO ĐỂ CHUẨN BỊ ĐÓN TẾT, Bà con trang trí cành đào để chuẩn bị đón Tết.,"Bà con trang trí cành đào để chuẩn bị đón Tết.
",bà con rang trí cành đào để chuẩn bị đón tết,bà con trang trí cành đào để chuẩn bị đón tết,bà con trang trí cành đào để chuẩn bị đón tết,0.0909,0.0909
TÔI VÀO QUẦY GIẢI KHÁT ĐẦU TIÊN VÀ GỌI MỘT CỐC NƯỚC CAM, Tôi vào quầy giải khát đầu tiên và gọi 1 cốc nước kem,"Tôi vào quầy giải khát đầu tiên và gọi một cốc nước kem.
",tôi vào quầy giải khát đầu tiên và gọi một cốc nước cam,tôi vào quầy giải khát đầu tiên và gọi một cốc nước kem,tôi vào quầy giải khát đầu tiên và gọi một cốc nước kem,0.0769,0.0769
TỚ ĐI KIẾM NHÀ TRỌ RỒI NHƯNG KHÓ QUÁ, Tớ đi kiếm nhà trọ rồi nhưng khó quá,"Tớ đi kiếm nhà trọ rồi nhưng khó quá.
",tớ đi kiếm nhà trọ rồi nhưng khó quá,tớ đi kiếm nhà trọ rồi nhưng khó quá,tớ đi kiếm nhà trọ rồi nhưng khó quá,0,0
CHÍN MƯƠI BỐN CHÍN MƯƠI LĂM," 94, 95","94, 95.
",chín mươi bốn chín mươi lăm,chín mươi tư chín mươi lăm,chín mươi tư chín mươi lăm,0.1667,0.1667
THIẾU SỰ QUAN TÂM ĐÚNG MỨC TỪ CÁC CƠ QUAN CHỨC NĂNG, Thiếu sự quan tâm đúng mức từ các cơ quan chức năng,"thiếu sự quan tâm đúng mức từ các cơ quan chức năng.
",thiếu sự quan tâm đúng mức từ các cơ quan chức năng,thiếu sự quan tâm đúng mức từ các cơ quan chức năng,thiếu sự quan tâm đúng mức từ các cơ quan chức năng,0,0
SAU ĐÓ BÀ HÀNG XÓM TÍNH TÌNH XỞI LỞI CHẠY QUA KỂ VỚI TÔI, Sau đó bà hàng xóm tính tình sợi lỗi chạy qua kể với tôi,"Sau đó ba hàng xóm tính tình sỏi lõi chạy qua kể với tôi.
",sau đó bà hàng xóm tính tình xởi lởi chạy qua kể với tôi,sau đó bà hàng xóm tính tình sợi lỗi chạy qua kể với tôi,sau đó ba hàng xóm tính tình sỏi lõi chạy qua kể với tôi,0.1429,0.2143
KHÔNG PHẢI VÌ TÔI KHÔNG COI TRỌNG CHẤT LƯỢNG, Không phải vì tôi không coi trọng chất lượng,"Không phải vì tôi không coi trọng chất lượng.
",không phải vì tôi không coi trọng chất lượng,không phải vì tôi không coi trọng chất lượng,không phải vì tôi không coi trọng chất lượng,0,0
TỪ SỰ DƯ THỪA QUÁ MỨC CỦA LUỒNG TIỀN NÀY, Từ sự dư thừa quá mức của luận tiền này,"từ sự dư thừa quá mức của luồng tiền này.
",từ sự dư thừa quá mức của luồng tiền này,từ sự dư thừa quá mức của luận tiền này,từ sự dư thừa quá mức của luồng tiền này,0.1,0
NĂM MƯƠI HAI NĂM MƯƠI BA," Năm mười hai, năm mươi ba","52, 53.",năm mươi hai năm mươi ba,năm mười hai năm mươi ba,năm mươi hai năm mươi ba,0.1667,0
VÀ ĐÃ HIẾN MÁU BA LẦN, và đã hiến máu 3 lần.,"và đã hiến máu ba lần.
",và đã hiến máu ba lần,và đã hiến máu ba lần,và đã hiến máu ba lần,0,0
DƯỚI ÁNH ĐÈN MỜ MỜ ẢO ẢO, dưới ánh đèn mờ mờ ảo ảo.,"dưới ánh đèn mờ mờ ảo ảo, rơ",dưới ánh đèn mờ mờ ảo ảo,dưới ánh đèn mờ mờ ảo ảo,dưới ánh đèn mờ mờ ảo ảo rơ,0,0.1429
ỊCH GÃ TO BÉO ỤC ỊCH, Âch gá to béo ốc ạch,"ợt gà to béo ục ịch.
",ịch gã to béo ục ịch,âch gá to béo ốc ạch,ợt gà to béo ục ịch,0.6667,0.3333
HẦU HẾT NHỮNG VẤN ĐỀ XẢY RA TRÊN THẾ GIỚI, Hầu hết những vấn đề xảy ra trên thế giới.,Hầu hết những vấn đề xảy ra trên thế giới.,hầu hết những vấn đề xảy ra trên thế giới,hầu hết những vấn đề xảy ra trên thế giới,hầu hết những vấn đề xảy ra trên thế giới,0,0
�p đựng trang sức bọc da đỏ.,,,�p đựng trang sức bọc da đỏ,nan,nan,1,1
"
NĂM MƯƠI BỐN NĂM MƯƠI LĂM, Năm 14"," năm 15""","54, 55.",năm mươi bốn năm mươi lăm năm mười bốn,"năm mười năm""",năm mươi tư năm mươi lăm,0.7778,0.4444
BA MƯƠI HAI BA MƯƠI BA," 32, 33","32 33
",ba mươi hai ba mươi ba,ba mươi hai ba mươi ba,ba mươi hai ba mươi ba,0,0
CHÍNH THỨC ĐÃ LÂY LAN RA BÊN NGOÀI, Chính thức đã lây lan ra bên ngoài,"Chính thức đã lây lan ra bên ngoài.
",chính thức đã lây lan ra bên ngoài,chính thức đã lây lan ra bên ngoài,chính thức đã lây lan ra bên ngoài,0,0
MỘT BA NĂM BẢY CHÍN," 1, 3, 5, 7, 9","1 3 5 7 9.
",một ba năm bảy chín,một ba năm bảy chín,một ba năm bảy chín,0,0
ÔNG ĐƯỢC NHIỀU NGƯỜI BIẾT ĐẾN, Ông được nhiều người biết đến,Ông được nhiều người biết đến.,ông được nhiều người biết đến,ông được nhiều người biết đến,ông được nhiều người biết đến,0,0
TRẢ LỜI TÔI BIẾT, Trả lời tôi biết.,"Trả lời tôi biết.
",trả lời tôi biết,trả lời tôi biết,trả lời tôi biết,0,0
TẠI CHỢ CÁ, Tại chợ cá,"tại chợ cá.
",tại chợ cá,tại chợ cá,tại chợ cá,0,0
ĐỐI VỚI NHỮNG PHẢN ỨNG KHÁC BIỆT ĐÓ, đối với những phản ứng khác biệt đó,đối với những phản ứng khác biệt đó.,đối với những phản ứng khác biệt đó,đối với những phản ứng khác biệt đó,đối với những phản ứng khác biệt đó,0,0
TIẾNG HÉT ĐỒNG THANH CỦA MẤY CHỤC CON NGƯỜI, Tiếng hét đồng thanh của mấy chục con người,Tiếng hét đồng thanh của mấy chục con người.,tiếng hét đồng thanh của mấy chục con người,tiếng hét đồng thanh của mấy chục con người,tiếng hét đồng thanh của mấy chục con người,0,0
TỪ KHI CHỒNG QUA ĐỜI VÌ BỆNH TẬT, Từ khi chồng qua đời vì bệnh tật,từ khi chồng qua đời vì bệnh tật.,từ khi chồng qua đời vì bệnh tật,từ khi chồng qua đời vì bệnh tật,từ khi chồng qua đời vì bệnh tật,0,0
SÁU MƯƠI SÁU MƯƠI MỐT," 60, 61","60 61
",sáu mươi sáu mươi mốt,sáu mươi sáu mươi mốt,sáu mươi sáu mươi mốt,0,0
XANH CỎ MƯỢT MÀ VEN ĐƯỜNG, Xanh có mượt mà ven đường,Xanh cỏ mượt mà ven đường.,xanh cỏ mượt mà ven đường,xanh có mượt mà ven đường,xanh cỏ mượt mà ven đường,0.1667,0
NHÓM THANH LONG TRẺ DIỄN TIỂU PHẨM HÀI HẮC BẠCH TRANH HÙNG, Nhóm Thanh Long Trẻ diễn tiểu phẩm hài H.Bạch Tranh Hùng,Nhóm thanh long trẻ diễn tiểu phẩm Hai Hắc Bạch tranh hùng.,nhóm thanh long trẻ diễn tiểu phẩm hài hắc bạch tranh hùng,nhóm thanh long trẻ diễn tiểu phẩm hài hbạch tranh hùng,nhóm thanh long trẻ diễn tiểu phẩm hai hắc bạch tranh hùng,0.1667,0.0833
THIẾU TƯỚNG PHẠM QUÝ NGỌ CHO BIẾT, Thiếu tướng Phạm Quý Ngọ cho biết,"Thiếu tướng Phạm Quý Ngọ cho biết.
",thiếu tướng phạm quý ngọ cho biết,thiếu tướng phạm quý ngọ cho biết,thiếu tướng phạm quý ngọ cho biết,0,0
TÔI KHÔNG THẤY GÌ LÀ ĐÚNG KHI TĂNG GIÁ XE VÀO CÁC DỊP TẾT, Tôi không thấy gì là đúng khi tăng giá xe vào các dịp Tết.,Tôi không thấy gì là đúng khi tăng giá xe vào các dịp Tết.,tôi không thấy gì là đúng khi tăng giá xe vào các dịp tết,tôi không thấy gì là đúng khi tăng giá xe vào các dịp tết,tôi không thấy gì là đúng khi tăng giá xe vào các dịp tết,0,0
KHÔNG MỘT CHÚT TRẦY TRỤA MÀ ĐỀN CÁI GÌ, Không một chút trầy trộn mà đền cái gì.,"Không một chút trầy trụa mà đền cái gì?
",không một chút trầy trụa mà đền cái gì,không một chút trầy trộn mà đền cái gì,không một chút trầy trụa mà đền cái gì?,0.1111,0.1111
TRONG CUỘC BỎ PHIẾU TẠI HỘI ĐỒNG BẢO AN HAI NGÀY TRƯỚC ĐÓ, Trong cuộc bỏ phiếu tại Hội đồng Bảo an 2 ngày trước đó,"Trong cuộc bỏ phiếu tại Hội đồng Bảo an 2 ngày trước đó,
",trong cuộc bỏ phiếu tại hội đồng bảo an hai ngày trước đó,trong cuộc bỏ phiếu tại hội đồng bảo an hai ngày trước đó,trong cuộc bỏ phiếu tại hội đồng bảo an hai ngày trước đó,0,0
ĐÓ CHỨNG TỎ RẰNG CHÚNG TA ĐÃ GIÀ, Đó chứng tỏ rằng chúng ta đã già,Đó chứng tỏ rằng chúng ta đã già.,đó chứng tỏ rằng chúng ta đã già,đó chứng tỏ rằng chúng ta đã già,đó chứng tỏ rằng chúng ta đã già,0,0
BẢY MƯƠI BẢY MƯƠI MỐT," 70, 71","70, 71.
",bảy mươi bảy mươi mốt,bảy mươi bảy mươi mốt,bảy mươi bảy mươi mốt,0,0
ÁO RÁCH LƯƠM BƯƠM, Áo rách lôm bôm,"Áo rách lơm bơm. Ừ.
",áo rách lươm bươm,áo rách lôm bôm,áo rách lơm bơm ừ,0.5,0.75
KHI CHÍNH PHỦ LÚC ĐẦU ĐỀ NGHỊ ÂN XÁ CHO NHỮNG NGƯỜI NỔI DẬY, Khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy,"khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy.
",khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy,khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy,khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy,0,0
PHỤ HUYNH VÀ HỌC SINH ĐANG PHẢI È CỔ VÌ SÁCH GIÁ CAO, phụ huynh và học sinh đang phải e cỏ vì sách giá cao,Phụ huynh và học sinh đang phải e ngại về sách giá cao.,phụ huynh và học sinh đang phải è cổ vì sách giá cao,phụ huynh và học sinh đang phải e cỏ vì sách giá cao,phụ huynh và học sinh đang phải e ngại về sách giá cao,0.1538,0.2308
TRANG THỨ HAI CỦA TỜ BÁO, Trang thứ 2 của tờ báo,"Trang thứ hai của tờ báo.
",trang thứ hai của tờ báo,trang thứ hai của tờ báo,trang thứ hai của tờ báo,0,0
TRẢ LẠI ĐẤT CHO RỪNG, Trả lại đất cho rừng,trả lại đất cho rừng.,trả lại đất cho rừng,trả lại đất cho rừng,trả lại đất cho rừng,0,0
CÁC LOẠI CÂY TRỒNG Ở RỪNG NÀY TOÀN CÂY KÉM GIÁ TRỊ, Các loại cây trồng ở rừng này toàn cây kém giá trị,"Các loại cây trồng ở rừng này toàn cây kém giá trị.
",các loại cây trồng ở rừng này toàn cây kém giá trị,các loại cây trồng ở rừng này toàn cây kém giá trị,các loại cây trồng ở rừng này toàn cây kém giá trị,0,0
KHUYẾT ĐIỂM LỚN CỦA CHÚNG TA LÀ CHƯA CÓ DÂN CHỦ THẬT SỰ, Khuyết điểm lớn của chúng ta là chưa có dân chủ thật sự,Khuyết điểm lớn của chúng ta là chưa có dân chủ thực sự.,khuyết điểm lớn của chúng ta là chưa có dân chủ thật sự,khuyết điểm lớn của chúng ta là chưa có dân chủ thật sự,khuyết điểm lớn của chúng ta là chưa có dân chủ thực sự,0,0.0769
PHÙ SA BỒI ĐẮP RUỘNG VƯỜN CHO XÓM LÀNG TRÙ PHÚ, Phù xe bò đắp rượu vườn cho xóm làng trụ phú,phù sa bồi đắp ruộng vườn cho xóm làng trù phú.,phù sa bồi đắp ruộng vườn cho xóm làng trù phú,phù xe bò đắp rượu vườn cho xóm làng trụ phú,phù sa bồi đắp ruộng vườn cho xóm làng trù phú,0.3636,0
NHỮNG BIẾN DẠNG NÀY THƯỜNG THẤY RÕ KHI DƯƠNG VẬT CƯƠNG, Những biến dạng này thường thấy rõ khi dương vật cương,"Những biến dạng này thường thấy rõ khi dương vật cương.
",những biến dạng này thường thấy rõ khi dương vật cương,những biến dạng này thường thấy rõ khi dương vật cương,những biến dạng này thường thấy rõ khi dương vật cương,0,0
THÌ ĐỌC ĐƯỢC HỒI KÝ KHÔNG THỂ CHUỘC LỖI TRÊN BÁO TUỔI TRẺ, thì đọc được hồi ký không thể chuột lỗi trên báo Tuổi Trẻ.,thì đọc được hồi ký không thể chuộc lỗi trên báo tuổi trẻ.,thì đọc được hồi ký không thể chuộc lỗi trên báo tuổi trẻ,thì đọc được hồi ký không thể chuột lỗi trên báo tuổi trẻ,thì đọc được hồi ký không thể chuộc lỗi trên báo tuổi trẻ,0.0769,0
NÓI CÁCH KHÁC CÁI ĐƯỢC CỦA CHÂU Á LÀ CÁI MẤT CỦA CHÂU PHI," Nói cách khác, cái được của châu Á là cái mắc của châu Phi","Nói cách khác, cái được của châu Á là cái mất của châu Phi.
",nói cách khác cái được của châu á là cái mất của châu phi,nói cách khác cái được của châu á là cái mắc của châu phi,nói cách khác cái được của châu á là cái mất của châu phi,0.0714,0
TRONG NGẮN HẠN THỊ TRƯỜNG VẬN HÀNH NHƯ MỘT CỖ MÁY BẦU CỬ," Trong ngắn hạn, thị trường vận hành như một cỗ máy bầu cử",trong ngắn hạn thị trường vận hành như một cỗ máy bầu cử.,trong ngắn hạn thị trường vận hành như một cỗ máy bầu cử,trong ngắn hạn thị trường vận hành như một cỗ máy bầu cử,trong ngắn hạn thị trường vận hành như một cỗ máy bầu cử,0,0
EM HÃY TÌM CÁCH TIẾP CẬN ĐỂ BÀY TỎ VỚI MẸ, Em hãy tìm cách tiếp cận để bày tỏ với mẹ,Em hãy tìm cách tiếp cận để bày tỏ với mẹ.,em hãy tìm cách tiếp cận để bày tỏ với mẹ,em hãy tìm cách tiếp cận để bày tỏ với mẹ,em hãy tìm cách tiếp cận để bày tỏ với mẹ,0,0
NGƯỜI ANH SAU ĐÓ ĐƯỢC PHÉP THẦU XÂY KÊNH NÀY NHƯNG KHÔNG TIẾN HÀNH, Người anh sau đó được phép thầu xoay kênh này nhưng không tiến hành,Người anh sau đó được phép thầu xây kênh này nhưng không tiến hành.,người anh sau đó được phép thầu xây kênh này nhưng không tiến hành,người anh sau đó được phép thầu xoay kênh này nhưng không tiến hành,người anh sau đó được phép thầu xây kênh này nhưng không tiến hành,0.0714,0
TỪ ĐÓ LẠI SA ĐÀ VÀO NHIỀU NGHỊCH CẢNH ĐÁNG TIẾC," Từ đó, lại xe đè vào nhiều nghịch cảnh đáng tiếc","Từ đó, lại xe đè vào nhiều nghịch cảnh đáng tiếc.",từ đó lại sa đà vào nhiều nghịch cảnh đáng tiếc,từ đó lại xe đè vào nhiều nghịch cảnh đáng tiếc,từ đó lại xe đè vào nhiều nghịch cảnh đáng tiếc,0.1818,0.1818
NHƯNG NẾU CHỈ NÓI CÁI GIỎI KHÔNG THÔI THÌ THẬT CHƯA ĐỦ VỀ CHÚ TƯ, Nhưng nếu chị nói cái giỏi không thôi thì thật sự chưa đủ về chú tư,"Nhưng nếu chị nói cái giỏi không thôi thì thật sự chưa đủ về chú Tư.
",nhưng nếu chỉ nói cái giỏi không thôi thì thật chưa đủ về chú tư,nhưng nếu chị nói cái giỏi không thôi thì thật sự chưa đủ về chú tư,nhưng nếu chị nói cái giỏi không thôi thì thật sự chưa đủ về chú tư,0.1333,0.1333
CHỊ NÊN ĐI KHÁM BÁC SĨ VÀ CHỌN PHƯƠNG PHÁP NGỪA THAI HIỆU QUẢ, Chị nên đi khám bác sĩ về chọn phương pháp ngừa thai hiệu quả,Chị nên đi khám bác sĩ về chọn phương pháp ngừa thai hiệu quả.,chị nên đi khám bác sĩ và chọn phương pháp ngừa thai hiệu quả,chị nên đi khám bác sĩ về chọn phương pháp ngừa thai hiệu quả,chị nên đi khám bác sĩ về chọn phương pháp ngừa thai hiệu quả,0.0714,0.0714
HỌ CHỈ THÍCH NHỮNG MÔN GÌ MẠNH BẠO BẠO LỰC VÀ KIẾM RA TIỀN THÔI," Họ chỉ thích những môn gì mạnh bạo, bạo lực và kiếm ra tiền thôi","Họ chỉ thích những môn gì mạnh bạo, bạo lực và kiếm ra tiền thôi.
",họ chỉ thích những môn gì mạnh bạo bạo lực và kiếm ra tiền thôi,họ chỉ thích những môn gì mạnh bạo bạo lực và kiếm ra tiền thôi,họ chỉ thích những môn gì mạnh bạo bạo lực và kiếm ra tiền thôi,0,0
TRANG VIẾT CỦA HỌ HƠN HẲN THỜI TUỔI TRẺ CỦA TÔI, Trang viết của họ hơn hẳn thời tuổi trẻ của tôi,"Trang viết của họ hơn hẳn thời tuổi trẻ của tôi.
",trang viết của họ hơn hẳn thời tuổi trẻ của tôi,trang viết của họ hơn hẳn thời tuổi trẻ của tôi,trang viết của họ hơn hẳn thời tuổi trẻ của tôi,0,0
XÉT Ở KHÍA CẠNH NÀY THÌ ĐÚNG LÀ MẤT BÒ MỚI LO LÀM CHUỒNG, Xét ở khía cạnh này thì đúng là mắt bò mới lo làm chuồng,"Xét ở khía cạnh này thì đúng là mất bò mới lo làm chuồng.
",xét ở khía cạnh này thì đúng là mất bò mới lo làm chuồng,xét ở khía cạnh này thì đúng là mắt bò mới lo làm chuồng,xét ở khía cạnh này thì đúng là mất bò mới lo làm chuồng,0.0714,0
LÚC ĐÓ NẠN KẸT XE CHẮC SẼ KINH KHỦNG GẤP NHIỀU LẦN HÔM NAY, Lúc đó nạn kẹt xê chắc xỉ kinh khủng gấp nhiều lần hôm nay,"Lúc đó, nạn kẹt xe chắc sẽ kinh khủng, gấp nhiều lần hôm nay.",lúc đó nạn kẹt xe chắc sẽ kinh khủng gấp nhiều lần hôm nay,lúc đó nạn kẹt xê chắc xỉ kinh khủng gấp nhiều lần hôm nay,lúc đó nạn kẹt xe chắc sẽ kinh khủng gấp nhiều lần hôm nay,0.1429,0
NHANH QUÁ ĐÃ LÀ LẦN THỨ BA XA NHÀ RỒI ĐẤY, Nhanh quá đã là lần thứ 3 xa nhà rồi đấy,Nhanh quá đã là lần thứ ba xe nhà rồi đấy.,nhanh quá đã là lần thứ ba xa nhà rồi đấy,nhanh quá đã là lần thứ ba xa nhà rồi đấy,nhanh quá đã là lần thứ ba xe nhà rồi đấy,0,0.0909
ĐIỀU LẠ LÀ TÔI VẪN KHÔNG TỪ BỎ Ý ĐỊNH TRỞ THÀNH TU SĨ, Điều lạ là tôi vẫn không từ bỏ ý định trở thành tu sĩ,Điều lạ là tôi vẫn không từ bỏ ý định trở thành tu sĩ.,điều lạ là tôi vẫn không từ bỏ ý định trở thành tu sĩ,điều lạ là tôi vẫn không từ bỏ ý định trở thành tu sĩ,điều lạ là tôi vẫn không từ bỏ ý định trở thành tu sĩ,0,0
LÊN CÁC CUỘC HẸN PHỎNG VẤN VÀ THỰC HIỆN PHỎNG VẤN, Lên các cuộc hẹn phong bón và thực hiện phong bón,lên các cuộc hẹn phỏng vấn và thực hiện phỏng vấn.,lên các cuộc hẹn phỏng vấn và thực hiện phỏng vấn,lên các cuộc hẹn phong bón và thực hiện phong bón,lên các cuộc hẹn phỏng vấn và thực hiện phỏng vấn,0.3636,0
MẮT TỰ NHIÊN HOA LÊN TRÍ CHỤP MỘT CÁI LY QUẬT MẠNH XUỐNG SÀN, Mắt tự nhiên hoa lên trí chụp một cái ly hoặc mạnh xuống sàn,"Mách tự nhiên hoa lên, trí chụp một cái ly hoặc mạnh xuống sàn.",mắt tự nhiên hoa lên trí chụp một cái ly quật mạnh xuống sàn,mắt tự nhiên hoa lên trí chụp một cái ly hoặc mạnh xuống sàn,mách tự nhiên hoa lên trí chụp một cái ly hoặc mạnh xuống sàn,0.0714,0.1429
CHƯƠNG TRÌNH HỌC BỔNG THANH NIÊN CHÂU Á CỦA NHẬT BẢN, Chương trình học bổng thanh niên châu Á của Nhật Bản,chương trình học bổng thanh niên châu Á của Nhật Bản,chương trình học bổng thanh niên châu á của nhật bản,chương trình học bổng thanh niên châu á của nhật bản,chương trình học bổng thanh niên châu á của nhật bản,0,0
NỢ MỘT CUỘC CHIẾN CHỐNG THAM NHŨNG VẪN CHƯA VÀO ĐÂU, Nếu một cuộc chiến chống tham nhũng vẫn chưa vào đâu,Nở một cuộc chiến chống tham nhũng vẫn chưa và đâu?,nợ một cuộc chiến chống tham nhũng vẫn chưa vào đâu,nếu một cuộc chiến chống tham nhũng vẫn chưa vào đâu,nở một cuộc chiến chống tham nhũng vẫn chưa và đâu?,0.0909,0.2727
VỢ LỠ CÓ TẬT THẾ ANH NÊN THAY ĐỔI CÁCH TIẾP CẬN, Vợ lợi có tập thế anh nên thay đổi cách tiếp cận,"Vợ lơ có tật, thế anh nên thay đổi cách tiếp cận.",vợ lỡ có tật thế anh nên thay đổi cách tiếp cận,vợ lợi có tập thế anh nên thay đổi cách tiếp cận,vợ lơ có tật thế anh nên thay đổi cách tiếp cận,0.1667,0.0833
ĐỖ ĐỨC THUẦN NGUYÊN KẾ TOÁN TRƯỞNG CÔNG TY TIẾP THỊ ĐẦU TƯ, Độ đất thuần nguyên kế toán trưởng công ty tiếp thị đầu tư,"Đỗ Đắc Thuần, nguyên kế toán trưởng công ty tiếp thị đầu tư.",đỗ đức thuần nguyên kế toán trưởng công ty tiếp thị đầu tư,độ đất thuần nguyên kế toán trưởng công ty tiếp thị đầu tư,đỗ đắc thuần nguyên kế toán trưởng công ty tiếp thị đầu tư,0.1538,0.0769
ÔNG NÓI CHÚNG TÔI HI VỌNG SẼ CÓ NHỮNG TIN TỨC TỐT LÀNH, Ông nói chúng tôi hy vọng sẽ có những tin tức tốt lành,Ông nói chúng tôi hy vọng sẽ có những tin tức tốt lành.,ông nói chúng tôi hi vọng sẽ có những tin tức tốt lành,ông nói chúng tôi hy vọng sẽ có những tin tức tốt lành,ông nói chúng tôi hy vọng sẽ có những tin tức tốt lành,0.0769,0.0769
ĐÂY ĐƯỢC XEM LÀ VAI DIỄN THÀNH CÔNG NHẤT CỦA VƯƠNG TỪ TRƯỚC ĐẾN NAY, Đây được xem là vai diễn thành công nhất của Vương từ trước đến nay.,"Đây, đội xem là vai diễn thành công nhất của Vương từ trước đến nay.",đây được xem là vai diễn thành công nhất của vương từ trước đến nay,đây được xem là vai diễn thành công nhất của vương từ trước đến nay,đây đội xem là vai diễn thành công nhất của vương từ trước đến nay,0,0.0667
VẤN ĐỀ NẢY SINH TỪ CÁI CÂU HỎI DINH CU ẤY, Vấn đề nảy sinh từ cái câu hỏi dinh cư ấy,"Vấn đề nảy sinh từ cái câu hỏi,  dinh của ấy.",vấn đề nảy sinh từ cái câu hỏi dinh cu ấy,vấn đề nảy sinh từ cái câu hỏi dinh cư ấy,vấn đề nảy sinh từ cái câu hỏi  dinh của ấy,0.0909,0.0909
CHÓNG MẶT CÒN CÓ THỂ DO TÌNH TRẠNG RỐI LOẠN NHỊP TIM NẶNG GÂY RA, Chóng mặt còn có thể do tình trạng rối loạn nhịp tim nặng gây ra,"chóng mặt còn có thể do tình trạng rối loạn nhịp tim nặng gây ra.
",chóng mặt còn có thể do tình trạng rối loạn nhịp tim nặng gây ra,chóng mặt còn có thể do tình trạng rối loạn nhịp tim nặng gây ra,chóng mặt còn có thể do tình trạng rối loạn nhịp tim nặng gây ra,0,0
